ppm	val
1.87047	0.0394078	
1.87071	0.0374216	
1.87095	0.0338574	
1.8712	0.0305727	
1.87144	0.0304438	
1.87169	0.02923	
1.87193	0.0280163	
1.87218	0.0264718	
1.87242	0.0249273	
1.87267	0.0249607	
1.87291	0.0249941	
1.87316	0.0235317	
1.8734	0.0220694	
1.87365	0.0232369	
1.87389	0.0244044	
1.87413	0.022938	
1.87438	0.0214715	
1.87462	0.0226349	
1.87487	0.0237983	
1.87511	0.0230058	
1.87536	0.0222132	
1.8756	0.0222096	
1.87585	0.022206	
1.87609	0.0224038	
1.87634	0.0226015	
1.87658	0.0227993	
1.87683	0.022997	
1.87707	0.0232441	
1.87732	0.0234911	
1.87756	0.0237382	
1.8778	0.0239853	
1.87805	0.0252226	
1.87829	0.02646	
1.87854	0.0276973	
1.87878	0.0289347	
1.87903	0.0316185	
1.87927	0.0343022	
1.87952	0.0367888	
1.87976	0.0424311	
1.88001	0.0474951	
1.88025	0.0525591	
1.8805	0.058675	
1.88074	0.0679467	
1.88098	0.0784676	
1.88123	0.0889885	
1.88147	0.101482	
1.88172	0.113975	
1.88196	0.128441	
1.88221	0.146062	
1.88245	0.161021	
1.8827	0.174402	
1.88294	0.18604	
1.88319	0.194523	
1.88343	0.199423	
1.88368	0.201166	
1.88392	0.199841	
1.88416	0.195359	
1.88441	0.187196	
1.88465	0.175877	
1.8849	0.166596	
1.88514	0.154159	
1.88539	0.141821	
1.88563	0.134743	
1.88588	0.125166	
1.88612	0.114011	
1.88637	0.107031	
1.88661	0.100051	
1.88686	0.0925126	
1.8871	0.0902335	
1.88734	0.0884476	
1.88759	0.0835059	
1.88783	0.0793161	
1.88808	0.0767043	
1.88832	0.0745855	
1.88857	0.0724667	
1.88881	0.072271	
1.88906	0.0720753	
1.8893	0.0700059	
1.88955	0.0695143	
1.88979	0.071554	
1.89004	0.0704379	
1.89028	0.072083	
1.89053	0.0753061	
1.89077	0.0759816	
1.89101	0.0798128	
1.89126	0.0876217	
1.8915	0.0922748	
1.89175	0.0997385	
1.89199	0.110358	
1.89224	0.121109	
1.89248	0.135016	
1.89273	0.14981	
1.89297	0.16776	
1.89322	0.190411	
1.89346	0.21464	
1.89371	0.240562	
1.89395	0.271744	
1.89419	0.302662	
1.89444	0.335159	
1.89468	0.369595	
1.89493	0.400875	
